id;placed_date;status;code;invoice_id;customer
1;2019-11-12T16:39:09;CANCELLED;Quality-focused;49724;capability zero tolerance Computers
2;2019-11-12T18:53:44;COMPLETED;Granite Berkshire Designer;24205;Bulgarian Lev navigate
3;2019-11-13T03:49:18;PENDING;invoice withdrawal;53577;Licensed hacking installation
4;2019-11-13T05:02:55;PENDING;Future-proofed deposit Sausages;69093;synthesize Creative
5;2019-11-13T06:13:28;CANCELLED;Enhanced deposit parsing;55520;Equatorial Guinea Vision-oriented
6;2019-11-13T07:17:26;PENDING;cross-media;72595;Internal AI optical
7;2019-11-12T18:06:59;PENDING;Tools Unbranded;66350;Home Gloves Latvia
8;2019-11-12T16:55:10;CANCELLED;Networked;32539;navigate
9;2019-11-12T17:56:02;COMPLETED;turn-key dedicated;24398;Strategist target
10;2019-11-12T12:06:58;PENDING;Cambridgeshire white sensor;28077;Shoes deposit
