id;tracking_code;date;details;invoice_id
1;Jewelery cutting-edge;2019-11-13T02:12:36;Hat;1
2;supply-chains magenta;2019-11-13T06:38:53;24/7;2
3;Gloves sky blue Oklahoma;2019-11-12T23:49:58;Tasty Concrete Chips Exclusive;3
4;Buckinghamshire capability zero tolerance;2019-11-13T08:38:22;Personal Loan Account;4
5;paradigms Home;2019-11-13T01:14:35;deposit Canadian Dollar Lebanon;5
6;Designer Persistent;2019-11-12T17:23:37;navigate;6
7;Re-contextualized;2019-11-12T14:14:59;Point Orchestrator;7
8;Solomon Islands Licensed;2019-11-12T13:28:40;installation;8
9;Argentine Peso;2019-11-12T12:55:28;neural-net red;9
10;Buckinghamshire Future-proofed deposit;2019-11-13T05:20:24;Yen synthesize Creative;10
