id;code;date;details;status;payment_method;payment_date;payment_amount
1;mobile Fish;2019-11-12T14:48:44;Savings Account Dam;ISSUED;CREDIT_CARD;2019-11-13T08:10:15;96990
2;parsing red Chips;2019-11-13T05:07:23;methodology Albania;ISSUED;CREDIT_CARD;2019-11-12T22:34:45;9060
3;Savings Account syndicate Planner;2019-11-12T22:19:21;HDD;CANCELLED;PAYPAL;2019-11-13T03:44:25;44015
4;Rubber Buckinghamshire Games;2019-11-12T11:42:04;Digitized invoice;PAID;PAYPAL;2019-11-12T14:55:18;44975
5;e-enable Communications capacitor;2019-11-13T01:41:16;Georgia;PAID;CREDIT_CARD;2019-11-12T18:57:22;54269
6;Plastic;2019-11-12T14:16:20;Small;PAID;CASH_ON_DELIVERY;2019-11-13T07:44:51;92630
7;deposit Internal;2019-11-12T13:07:26;Highway Ergonomic;CANCELLED;CASH_ON_DELIVERY;2019-11-13T00:20:04;11959
8;bus synthesize Idaho;2019-11-12T15:01:18;Avon;ISSUED;PAYPAL;2019-11-12T18:15:04;47537
9;Montana;2019-11-12T16:49:57;Concrete Investment Account Saint Lucia;PAID;PAYPAL;2019-11-12T18:32:25;80812
10;deposit;2019-11-12T12:36:36;digital maroon;ISSUED;CREDIT_CARD;2019-11-13T04:03:15;64769
